step,accuracy,loss
1,0.21168391406536102,347.1812438964844
2,0.3097611463069916,331.4647216796875
3,0.3839052712917328,316.1140441894531
4,0.43326831817626953,301.31304931640625
5,0.4932285141944885,287.40301513671875
6,0.5500278806686401,274.2517395019531
7,0.5923105425834656,261.5498046875
8,0.6329299545288086,249.7107391357422
9,0.6657722926139832,238.26016235351562
10,0.6821695852279663,227.6560821533203
11,0.7035668778419495,217.41748046875
12,0.7218789744377136,207.9451904296875
13,0.7334235596656799,199.1028594970703
14,0.7468591022491455,190.6573486328125
15,0.7616879034042358,182.5569610595703
16,0.7682563948631287,174.95433044433594
17,0.7791043210029602,167.51365661621094
18,0.7882603693008423,160.49974060058594
19,0.8011982727050781,153.50474548339844
20,0.804965784072876,147.20823669433594
21,0.8165103693008423,140.38783264160156
22,0.8216855425834656,134.50079345703125
23,0.8263630766868591,128.4405517578125
24,0.8289506335258484,122.75007629394531
25,0.8312301278114319,117.73622131347656
26,0.8403957386016846,112.767333984375
27,0.8439785141944885,108.58019256591797
28,0.848556568145752,104.26013946533203
29,0.8502293210029602,100.30021667480469
30,0.8552149772644043,96.78375244140625
31,0.8601910710334778,93.54497528076172
32,0.8601767868995667,90.31851196289062
33,0.8649538607597351,87.44139099121094
34,0.8620437784194946,84.90836334228516
35,0.8703184914588928,82.22627258300781
36,0.8741998267173767,79.85718536376953
37,0.87668869829177856,77.53089141845703
38,0.8789769005775452,75.39025115966797
39,0.8808678579330444,73.55740356445312
40,0.8829578351974487,71.7707290649414
41,0.8844506335258484,70.31021881103516
42,0.8878343892097473,68.65745544433594
43,0.888829607963562,67.04550170898438
44,0.8918153238296509,65.53056335449219
45,0.8921138834953308,64.30032348632812
46,0.8932085824012756,62.997642517089844
47,0.8954976391792297,61.64212417602539
48,0.8960947585105896,60.54999923706055
49,0.8964928579330444,59.567962646484375
